time,open,high,low,close,dynamic_sine_wave,dynamic_cosine_wave,adaptive_EB_sinewave,cycle_strength,cycle_stability,snr,cycle_phase,cycle_stage,cycle_stage_pct,cycle_phase_velocity,phase_velocity,phase_direction
1743390120,3107.38,3107.51,3106.4,3107.08,2.0155535282551744,0.5016615904820693,0,0.9999998418116921,1,0.9420106841473658,-8.668621376273222e-13,0.999999999999862,99.9999999999862,0,0,-1
1743390180,3106.8,3107.01,3106.19,3106.54,1.9351141366654618,-0.2432442090253404,0,0.9999998576305229,1,0.9218362708474782,-3.1415926535906706,0.49999999999986033,49.99999999998603,3.141592653589793,1,1
1743390240,3106.53,3107.16,3106.3,3106.95,1.6449751019784897,-0.8773641695325074,0,0.9999998718674706,1,0.9020881987135573,-3.1415926535906706,0.49999999999986033,49.99999999998603,0,0,-1
1743390300,3106.94,3107.75,3106.76,3107.45,1.2115686427095536,-1.3105968268515404,0,0.9999998846807235,1,0.8981863812835187,-3.1415926535906706,0.49999999999986033,49.99999999998603,0,0,-1
1743390360,3107.48,3110.64,3107.46,3110.43,0.8058996106248904,-1.226720402595998,0,0.9999998962126512,1,0.8401662445365279,-3.1415926535906706,0.49999999999986033,49.99999999998603,0,0,-1
1743390420,3110.47,3110.63,3107.67,3107.67,-0.10845293939636515,-2.7649508332266834,0,0.999999906591386,1,0.7615861706566855,-3.1415926535906706,0.49999999999986033,49.99999999998603,0,0,-1
1743390480,3107.66,3109.15,3107.19,3109.15,-1.0110529306132827,-2.7294117545006014,0,0.9999999159322475,1,0.6899366187847303,-3.1415926535906706,0.49999999999986033,49.99999999998603,0,0,-1
1743390540,3109.16,3111.19,3109.09,3109.62,-1.8926833368012512,-2.666000905373683,0,0.9999999243390227,1,0.5979125318023889,-3.1415926535906706,0.49999999999986033,49.99999999998603,0,0,-1
1743390600,3109.71,3110.85,3109.48,3110.84,-2.4337898840246215,-1.6362758528697618,0,0.9999999319051205,1,0.5390506840759799,-3.1415926535906706,0.49999999999986033,49.99999999998603,0,0,-1
1743390660,3110.95,3111.61,3109.81,3109.81,-2.479689477206606,-0.1387977956755774,0,0.9999999387146085,1,0.5891469099746487,-3.1415926535906706,0.49999999999986033,49.99999999998603,0,0,-1
1743390720,3109.73,3109.77,3108.42,3109.1,-2.0299448790840016,1.3600024424817179,0,0.9999999448431476,1,0.7259831477658054,-8.668621376273222e-13,0.999999999999862,99.9999999999862,-3.141592653589793,-1,-1
1743390780,3109.09,3109.26,3108.28,3109.23,-1.8395330696071148,0.5757946333250558,0,0.9999999503588328,1,0.8883748332027365,-8.668621376273222e-13,0.999999999999862,99.9999999999862,0,0,-1
1743390840,3109.2,3109.64,3108.72,3108.92,-1.1378463523376723,2.1218612815517828,0,0.9999999553229495,1,1,-8.668621376273222e-13,0.999999999999862,99.9999999999862,0,0,-1
1743390900,3108.91,3109.41,3108.41,3108.71,-0.7086482835840969,1.2978708899449067,0,0.9999999597906546,1,1,-8.668621376273222e-13,0.999999999999862,99.9999999999862,0,0,-1
1743390960,3108.7,3110.67,3108.61,3110.56,-0.20265717749312706,1.5300887282033562,0,0.9999999638115892,1,1,-8.668621376273222e-13,0.999999999999862,99.9999999999862,0,0,-1
1743391020,3110.42,3111.09,3109.02,3109.36,0.29438688848806044,1.503033380672603,0,0.9999999674304303,1,1,-8.668621376273222e-13,0.999999999999862,99.9999999999862,0,0,-1
1743391080,3109.21,3109.36,3107.99,3109.1,0.7402739787026402,1.3483375549017327,0,0.9999999706873872,1,1,-8.668621376273222e-13,0.999999999999862,99.9999999999862,0,0,-1
1743391140,3109.02,3109.82,3108.59,3108.75,1.1059408967905104,1.105756253238411,0,0.9999999736186485,1,1,-8.668621376273222e-13,0.999999999999862,99.9999999999862,0,0,-1
